,,TEMPO,,,GPT2,,,PatchTST,,,DLinear,,,Timesnet,,,T5,,,Informer,,,ETSformer,,,FEDFormer,
,,MSE,MAE,,MSE,MAE,,,,,MSE,MAE,,,,,,,,,,,,,,,
ECL,96,0.178,0.276,,0.189,0.286,,0.489,0.546,,0.195,0.292,,0.293,0.369,,0.185,0.282,,0.512,0.531,,0.707,0.638,,0.300,0.399
ECL,192,0.198,0.293,,0.206,0.302,,0.465,0.535,,0.204,0.300,,0.283,0.366,,0.205,0.302,,0.625,0.619,,0.721,0.645,,0.390,0.468
ECL,336,0.209,0.309,,0.232,0.324,,0.531,0.569,,0.231,0.325,,0.733,0.633,,0.229,0.321,,1.222,0.863,,0.862,0.707,,0.317,0.406
ECL,720,0.279,0.355,,0.262,0.347,,0.475,0.532,,0.259,0.352,,1.166,0.859,,0.266,0.351,,0.881,0.778,,0.666,0.640,,0.423,0.480
ECL,Avg,0.216,0.308,,0.222,0.315,,0.490,0.545,,0.222,0.317,,0.619,0.557,,0.221,0.314,,0.810,0.697,,0.750,0.664,,0.358,0.439
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic,96,0.476,0.343,,0.531,0.385,,1.023,0.641,,0.609,0.424,,0.585,0.401,,0.508,0.366,,1.400,0.830,,1.419,0.795,,0.835,0.564
Traffic,192,0.496,0.355,,0.540,0.390,,0.992,0.633,,0.595,0.412,,0.640,0.431,,0.524,0.374,,0.872,0.506,,0.995,0.658,,0.869,0.579
Traffic,336,0.503,0.356,,0.548,0.392,,0.987,0.626,,0.624,0.427,,1.609,0.864,,0.550,0.391,,0.978,0.507,,0.940,0.621,,1.006,0.640
Traffic,720,0.538,0.376,,0.572,0.395,,1.152,0.706,,0.623,0.420,,1.974,0.971,,0.578,0.404,,1.532,0.800,,0.798,0.518,,0.965,0.652
Traffic,Avg,0.503,0.358,,0.548,0.391,,1.039,0.652,,0.613,0.421,,1.202,0.667,,0.540,0.384,,1.195,0.661,,1.038,0.648,,0.919,0.609
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weather,96,0.211,0.254,,0.229,0.275,,0.247,0.301,,0.212,0.275,,0.247,0.295,,0.217,0.271,,0.837,0.711,,0.453,0.416,,0.292,0.346
Weather,192,0.254,0.298,,0.279,0.319,,0.277,0.324,,0.259,0.308,,0.316,0.342,,0.277,0.321,,0.431,0.455,,0.545,0.466,,0.372,0.426
Weather,336,0.292,0.332,,0.366,0.364,,0.317,0.347,,0.304,0.342,,0.359,0.372,,0.330,0.330,,0.370,0.412,,0.487,0.444,,0.639,0.600
Weather,720,0.370,0.379,,0.484,0.427,,0.375,0.388,,0.363,0.389,,0.423,0.405,,0.528,0.451,,1.133,0.842,,0.592,0.506,,0.409,0.425
Weather,Avg,0.282,0.316,,0.339,0.346,,0.304,0.340,,0.284,0.329,,0.336,0.353,,0.338,0.343,,0.693,0.605,,0.519,0.458,,0.428,0.449
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETTm1,96,0.438,0.424,,0.486,0.438,,0.733,0.554,,0.624,0.522,,0.518,0.470,,0.529,0.464,,0.880,0.657,,1.117,0.678,,0.698,0.553
ETTm1,192,0.461,0.432,,0.535,0.473,,0.739,0.563,,0.599,0.511,,0.550,0.490,,0.523,0.454,,1.461,0.892,,1.598,0.803,,0.819,0.608
ETTm1,336,0.515,0.467,,0.571,0.502,,0.755,0.576,,0.622,0.534,,0.638,0.532,,0.572,0.504,,0.949,0.631,,1.154,0.682,,0.785,0.624
ETTm1,720,0.591,0.509,,0.565,0.496,,0.739,0.570,,0.639,0.559,,0.723,0.577,,0.694,0.568,,0.779,0.616,,1.038,0.665,,0.816,0.614
ETTm1,Avg,0.501,0.458,,0.539,0.477,,0.741,0.566,,0.621,0.531,,0.607,0.517,,0.580,0.497,,1.017,0.699,,1.227,0.707,,0.780,0.600
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETTm2,96,0.185,0.267,,0.193,0.273,,0.273,0.345,,0.264,0.352,,0.202,0.290,,0.190,0.268,,0.263,0.360,,0.353,0.404,,0.665,0.634
ETTm2,192,0.243,0.304,,0.254,0.312,,0.299,0.355,,0.292,0.365,,0.261,0.318,,0.246,0.306,,0.494,0.516,,0.390,0.416,,0.358,0.416
ETTm2,336,0.309,0.345,,0.315,0.350,,0.342,0.382,,0.361,0.411,,0.380,0.392,,0.316,0.346,,0.788,0.622,,0.409,0.428,,0.372,0.424
ETTm2,720,0.386,0.395,,0.394,0.397,,0.421,0.421,,0.515,0.490,,0.399,0.409,,0.394,0.397,,1.075,0.725,,0.444,0.438,,0.455,0.462
ETTm2,Avg,0.281,0.328,,0.289,0.333,,0.334,0.376,,0.358,0.405,,,,,0.286,0.329,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETTh1,96,0.400,0.406,,0.407,0.415,,0.570,0.518,,0.414,0.421,,0.407,0.423,,0.400,0.409,,0.642,0.562,,0.469,0.457,,0.509,0.502
ETTh1,192,0.426,0.421,,0.434,0.431,,0.580,0.528,,0.439,0.437,,0.439,0.439,,0.428,0.426,,0.798,0.632,,0.548,0.503,,0.683,0.596
ETTh1,336,0.441,0.430,,0.444,0.440,,0.677,0.573,,0.463,0.464,,0.555,0.503,,0.442,0.438,,1.125,0.810,,0.728,0.585,,0.582,0.542
ETTh1,720,0.443,0.451,,0.445,0.454,,0.540,0.521,,0.467,0.481,,0.438,0.461,,0.443,0.458,,0.836,0.687,,0.615,0.561,,0.688,0.618
ETTh1,Avg,0.428,0.427,,0.432,0.435,,0.592,0.535,,0.446,0.451,,0.460,0.457,,0.428,0.433,,0.850,0.673,,,,,0.616,0.564
ETTh2,96,0.301,0.353,,0.320,0.364,,0.379,0.412,,0.334,0.389,,0.315,0.362,,0.328,0.366,,0.704,0.651,,0.405,0.428,,0.385,0.426
ETTh2,192,0.355,0.389,,0.394,0.407,,0.387,0.417,,0.381,0.415,,0.394,0.406,,0.413,0.410,,0.455,0.883,,0.476,0.468,,0.921,0.748
ETTh2,336,0.379,0.408,,0.393,0.415,,0.386,0.425,,0.471,0.482,,0.384,0.413,,0.416,0.427,,1.389,0.848,,0.446,0.451,,36.005,5.755
ETTh2,720,0.409,0.440,,0.415,0.438,,0.425,0.448,,0.639,0.559,,0.394,0.431,,0.425,0.440,,1.330,0.866,,0.446,0.466,,0.427,0.452
ETTh2,Avg,0.361,0.398,,0.380,0.406,,0.394,0.425,,0.456,0.461,,0.372,0.403,,0.395,0.411,,0.970,0.812,,0.443,0.453,,9.435,1.845
