,Methods,,TiDE,,GPT2(6),,GPT2(0),,DLinear,,PatchTST,,TimesNet,,N-HiTS,,T5,,Bert,
,Metric,,MSE,MAE,MSE,MAE,MSE,MAE,MSE,MAE,MSE,MAE,MSE,MAE,MSE,MAE,MSE,MAE,MSE,MAE
weather,,96,0.166,0.222,0.162,0.212,0.181,0.232,0.176,0.237,0.149,0.198,0.172,0.22,0.158,0.195,0.152,0.201,0.150,0.197
,,192,0.209,0.263,0.204,0.248,0.222,0.266,0.22,0.282,0.194,0.241,0.219,0.261,0.211,0.247,0.196,0.242,0.196,0.240
,,336,0.254,0.301,0.254,0.286,0.27,0.299,0.265,0.319,0.245,0.282,0.28,0.306,0.274,0.300,0.249,0.285,0.247,0.280
,,720,0.313,0.340,0.326,0.337,0.338,0.345,0.333,0.362,0.314,0.334,0.365,0.359,0.401,0.413,0.324,0.336,0.324,0.334
,,Avg,0.236,0.282,0.237,0.270,0.252,0.285,0.248,0.3,0.225,0.264,0.259,0.287,0.261,0.289,0.230,0.266,0.229,0.263
h1,,96,0.375,0.398,0.376,0.397,0.422,0.428,0.375,0.399,0.37,0.399,0.384,0.402,0.378,0.393,0.411,0.425,0.459,0.443
,,192,0.412,0.422,0.416,0.418,0.466,0.45,0.405,0.416,0.413,0.421,0.436,0.429,0.427,0.436,0.457,0.447,0.548,0.492
,,336,0.435,0.433,0.442,0.433,0.488,0.464,0.439,0.443,0.422,0.436,0.491,0.469,0.458,0.484,0.482,0.465,0.576,0.511
,,720,0.454,0.465,0.477,0.456,0.485,0.478,0.472,0.49,0.447,0.466,0.521,0.5,0.472,0.561,0.643,0.553,0.665,0.563
,,Avg,0.419,0.430,0.427,0.426,0.465,0.455,0.422,0.437,0.413,0.43,0.458,0.45,0.434,0.469,0.498,0.473,0.562,0.502
h2,,96,0.270,0.336,0.285,0.342,0.318,0.368,0.289,0.353,0.274,0.336,0.34,0.374,0.274,0.345,0.330,0.383,0.377,0.404
,,192,0.332,0.380,0.354,0.389,0.383,0.407,0.383,0.418,0.339,0.379,0.402,0.414,0.353,0.401,0.396,0.418,0.415,0.433
,,336,0.360,0.407,0.373,0.407,0.406,0.427,0.448,0.465,0.329,0.38,0.452,0.452,0.382,0.425,0.430,0.443,0.414,0.437
,,720,0.419,0.451,0.406,0.441,0.42,0.446,0.605,0.551,0.379,0.422,0.462,0.468,0.625,0.557,0.440,0.463,0.461,0.470
,,Avg,0.345,0.394,0.354,0.394,0.381,0.412,0.431,0.446,0.33,0.379,0.414,0.427,0.409,0.432,0.399,0.427,0.417,0.436
m1,,96,0.306,0.349,0.292,0.346,0.33,0.372,0.299,0.343,0.29,0.342,0.338,0.375,0.302,0.350,0.291,0.346,0.291,0.344
,,192,0.335,0.366,0.332,0.372,0.371,0.394,0.335,0.365,0.332,0.369,0.374,0.387,0.347,0.383,0.342,0.379,0.339,0.374
,,336,0.364,0.384,0.366,0.394,0.398,0.409,0.369,0.386,0.366,0.392,0.41,0.411,0.369,0.402,0.374,0.399,0.374,0.395
