model_name,dataset,pred_len,MSE,MAE
TEMPO,ECL,96,0.178,0.276
TEMPO,ECL,192,0.198,0.293
TEMPO,ECL,336,0.209,0.309
TEMPO,ECL,720,0.279,0.355
TEMPO,ECL,Avg,0.216,0.308
TEMPO,Traffic,96,0.476,0.343
TEMPO,Traffic,192,0.496,0.355
TEMPO,Traffic,336,0.503,0.356
TEMPO,Traffic,720,0.538,0.376
TEMPO,Traffic,Avg,0.503,0.358
TEMPO,Weather,96,0.211,0.254
TEMPO,Weather,192,0.254,0.298
TEMPO,Weather,336,0.292,0.332
TEMPO,Weather,720,0.37,0.379
TEMPO,Weather,Avg,0.282,0.316
TEMPO,ETTm1,96,0.438,0.424
TEMPO,ETTm1,192,0.461,0.432
TEMPO,ETTm1,336,0.515,0.467
TEMPO,ETTm1,720,0.591,0.509
TEMPO,ETTm1,Avg,0.501,0.458
TEMPO,ETTm2,96,0.185,0.267
TEMPO,ETTm2,192,0.243,0.304
TEMPO,ETTm2,336,0.309,0.345
TEMPO,ETTm2,720,0.386,0.395
TEMPO,ETTm2,Avg,0.281,0.328
TEMPO,ETTh1,96,0.4,0.406
TEMPO,ETTh1,192,0.426,0.421
TEMPO,ETTh1,336,0.441,0.43
TEMPO,ETTh1,720,0.443,0.451
TEMPO,ETTh1,Avg,0.428,0.427
TEMPO,ETTh2,96,0.301,0.353
TEMPO,ETTh2,192,0.355,0.389
TEMPO,ETTh2,336,0.379,0.408
TEMPO,ETTh2,720,0.409,0.44
TEMPO,ETTh2,Avg,0.361,0.398
GPT2,ECL,96,0.189,0.286
GPT2,ECL,192,0.206,0.302
GPT2,ECL,336,0.232,0.324
GPT2,ECL,720,0.262,0.347
GPT2,ECL,Avg,0.222,0.315
GPT2,Traffic,96,0.531,0.385
GPT2,Traffic,192,0.54,0.39
GPT2,Traffic,336,0.548,0.392
GPT2,Traffic,720,0.572,0.395
GPT2,Traffic,Avg,0.548,0.391
GPT2,Weather,96,0.229,0.275
GPT2,Weather,192,0.279,0.319
GPT2,Weather,336,0.366,0.364
GPT2,Weather,720,0.484,0.427
GPT2,Weather,Avg,0.339,0.346
GPT2,ETTm1,96,0.486,0.438
GPT2,ETTm1,192,0.535,0.473
GPT2,ETTm1,336,0.571,0.502
GPT2,ETTm1,720,0.565,0.496
GPT2,ETTm1,Avg,0.539,0.477
GPT2,ETTm2,96,0.193,0.273
GPT2,ETTm2,192,0.254,0.312
GPT2,ETTm2,336,0.315,0.35
GPT2,ETTm2,720,0.394,0.397
GPT2,ETTm2,Avg,0.289,0.333
GPT2,ETTh1,96,0.407,0.415
GPT2,ETTh1,192,0.434,0.431
GPT2,ETTh1,336,0.444,0.44
GPT2,ETTh1,720,0.445,0.454
GPT2,ETTh1,Avg,0.432,0.435
GPT2,ETTh2,96,0.32,0.364
GPT2,ETTh2,192,0.394,0.407
GPT2,ETTh2,336,0.393,0.415
GPT2,ETTh2,720,0.415,0.438
GPT2,ETTh2,Avg,0.38,0.406
PatchTST,ECL,96,0.489,0.546
PatchTST,ECL,192,0.465,0.535
PatchTST,ECL,336,0.531,0.569
PatchTST,ECL,720,0.475,0.532
PatchTST,ECL,Avg,0.49,0.545
PatchTST,Traffic,96,1.023,0.641
PatchTST,Traffic,192,0.992,0.633
PatchTST,Traffic,336,0.987,0.626
PatchTST,Traffic,720,1.152,0.706
PatchTST,Traffic,Avg,1.039,0.652
PatchTST,Weather,96,0.247,0.301
PatchTST,Weather,192,0.277,0.324
PatchTST,Weather,336,0.317,0.347
PatchTST,Weather,720,0.375,0.388
PatchTST,Weather,Avg,0.304,0.34
PatchTST,ETTm1,96,0.733,0.554
PatchTST,ETTm1,192,0.739,0.563
PatchTST,ETTm1,336,0.755,0.576
PatchTST,ETTm1,720,0.739,0.57
PatchTST,ETTm1,Avg,0.741,0.566
PatchTST,ETTm2,96,0.273,0.345
PatchTST,ETTm2,192,0.299,0.355
PatchTST,ETTm2,336,0.342,0.382
PatchTST,ETTm2,720,0.421,0.421
PatchTST,ETTm2,Avg,0.334,0.376
PatchTST,ETTh1,96,0.57,0.518
PatchTST,ETTh1,192,0.58,0.528
PatchTST,ETTh1,336,0.677,0.573
PatchTST,ETTh1,720,0.54,0.521
PatchTST,ETTh1,Avg,0.592,0.535
PatchTST,ETTh2,96,0.379,0.412
PatchTST,ETTh2,192,0.387,0.417
PatchTST,ETTh2,336,0.386,0.425
PatchTST,ETTh2,720,0.425,0.448
PatchTST,ETTh2,Avg,0.394,0.425
DLinear,ECL,96,0.195,0.292
DLinear,ECL,192,0.204,0.3
DLinear,ECL,336,0.231,0.325
DLinear,ECL,720,0.259,0.352
DLinear,ECL,Avg,0.222,0.317
DLinear,Traffic,96,0.609,0.424
DLinear,Traffic,192,0.595,0.412
DLinear,Traffic,336,0.624,0.427
DLinear,Traffic,720,0.623,0.42
DLinear,Traffic,Avg,0.613,0.421
DLinear,Weather,96,0.212,0.275
DLinear,Weather,192,0.259,0.308
DLinear,Weather,336,0.304,0.342
DLinear,Weather,720,0.363,0.389
DLinear,Weather,Avg,0.284,0.329
DLinear,ETTm1,96,0.624,0.522
DLinear,ETTm1,192,0.599,0.511
DLinear,ETTm1,336,0.622,0.534
DLinear,ETTm1,720,0.639,0.559
DLinear,ETTm1,Avg,0.621,0.531
DLinear,ETTm2,96,0.264,0.352
DLinear,ETTm2,192,0.292,0.365
DLinear,ETTm2,336,0.361,0.411
DLinear,ETTm2,720,0.515,0.49
DLinear,ETTm2,Avg,0.358,0.405
DLinear,ETTh1,96,0.414,0.421
DLinear,ETTh1,192,0.439,0.437
DLinear,ETTh1,336,0.463,0.464
DLinear,ETTh1,720,0.467,0.481
DLinear,ETTh1,Avg,0.446,0.451
DLinear,ETTh2,96,0.334,0.389
DLinear,ETTh2,192,0.381,0.415
DLinear,ETTh2,336,0.471,0.482
DLinear,ETTh2,720,0.639,0.559
DLinear,ETTh2,Avg,0.456,0.461
Timesnet,ECL,96,0.293,0.369
Timesnet,ECL,192,0.283,0.366
Timesnet,ECL,336,0.733,0.633
Timesnet,ECL,720,1.166,0.859
Timesnet,ECL,Avg,0.619,0.557
Timesnet,Traffic,96,0.585,0.401
Timesnet,Traffic,192,0.64,0.431
Timesnet,Traffic,336,1.609,0.864
Timesnet,Traffic,720,1.974,0.971
Timesnet,Traffic,Avg,1.202,0.667
Timesnet,Weather,96,0.247,0.295
Timesnet,Weather,192,0.316,0.342
Timesnet,Weather,336,0.359,0.372
Timesnet,Weather,720,0.423,0.405
Timesnet,Weather,Avg,0.336,0.353
Timesnet,ETTm1,96,0.518,0.47
Timesnet,ETTm1,192,0.55,0.49
Timesnet,ETTm1,336,0.638,0.532
Timesnet,ETTm1,720,0.723,0.577
Timesnet,ETTm1,Avg,0.607,0.517
Timesnet,ETTm2,96,0.202,0.29
Timesnet,ETTm2,192,0.261,0.318
Timesnet,ETTm2,336,0.38,0.392
Timesnet,ETTm2,720,0.399,0.409
Timesnet,ETTm2,Avg,0.3105,0.35225
Timesnet,ETTh1,96,0.407,0.423
Timesnet,ETTh1,192,0.439,0.439
Timesnet,ETTh1,336,0.555,0.503
Timesnet,ETTh1,720,0.438,0.461
Timesnet,ETTh1,Avg,0.46,0.457
Timesnet,ETTh2,96,0.315,0.362
Timesnet,ETTh2,192,0.394,0.406
Timesnet,ETTh2,336,0.384,0.413
Timesnet,ETTh2,720,0.394,0.431
Timesnet,ETTh2,Avg,0.372,0.403
T5,ECL,96,0.185,0.282
T5,ECL,192,0.205,0.302
T5,ECL,336,0.229,0.321
T5,ECL,720,0.266,0.351
T5,ECL,Avg,0.221,0.314
T5,Traffic,96,0.508,0.366
T5,Traffic,192,0.524,0.374
T5,Traffic,336,0.55,0.391
T5,Traffic,720,0.578,0.404
T5,Traffic,Avg,0.54,0.384
T5,Weather,96,0.217,0.271
T5,Weather,192,0.277,0.321
T5,Weather,336,0.33,0.33
T5,Weather,720,0.528,0.451
T5,Weather,Avg,0.338,0.343
T5,ETTm1,96,0.529,0.464
T5,ETTm1,192,0.523,0.454
T5,ETTm1,336,0.572,0.504
T5,ETTm1,720,0.694,0.568
T5,ETTm1,Avg,0.58,0.497
T5,ETTm2,96,0.19,0.268
T5,ETTm2,192,0.246,0.306
T5,ETTm2,336,0.316,0.346
T5,ETTm2,720,0.394,0.397
T5,ETTm2,Avg,0.2865,0.32925
T5,ETTh1,96,0.4,0.409
T5,ETTh1,192,0.428,0.426
T5,ETTh1,336,0.442,0.438
T5,ETTh1,720,0.443,0.458
T5,ETTh1,Avg,0.428,0.433
T5,ETTh2,96,0.328,0.366
T5,ETTh2,192,0.413,0.41
T5,ETTh2,336,0.416,0.427
T5,ETTh2,720,0.425,0.44
T5,ETTh2,Avg,0.395,0.411
Informer,ECL,96,0.512,0.531
Informer,ECL,192,0.625,0.619
Informer,ECL,336,1.222,0.863
Informer,ECL,720,0.881,0.778
Informer,ECL,Avg,0.81,0.697
Informer,Traffic,96,1.4,0.83
Informer,Traffic,192,0.872,0.506
Informer,Traffic,336,0.978,0.507
Informer,Traffic,720,1.532,0.8
Informer,Traffic,Avg,1.195,0.661
Informer,Weather,96,0.837,0.711
Informer,Weather,192,0.431,0.455
Informer,Weather,336,0.37,0.412
Informer,Weather,720,1.133,0.842
Informer,Weather,Avg,0.693,0.605
Informer,ETTm1,96,0.88,0.657
Informer,ETTm1,192,1.461,0.892
Informer,ETTm1,336,0.949,0.631
Informer,ETTm1,720,0.779,0.616
Informer,ETTm1,Avg,1.017,0.699
Informer,ETTm2,96,0.263,0.36
Informer,ETTm2,192,0.494,0.516
Informer,ETTm2,336,0.788,0.622
Informer,ETTm2,720,1.075,0.725
Informer,ETTm2,Avg,0.655,0.55575
Informer,ETTh1,96,0.642,0.562
Informer,ETTh1,192,0.798,0.632
Informer,ETTh1,336,1.125,0.81
Informer,ETTh1,720,0.836,0.687
Informer,ETTh1,Avg,0.85,0.673
Informer,ETTh2,96,0.704,0.651
Informer,ETTh2,192,0.455,0.883
Informer,ETTh2,336,1.389,0.848
Informer,ETTh2,720,1.33,0.866
Informer,ETTh2,Avg,0.97,0.812
ETSformer,ECL,96,0.707,0.638
ETSformer,ECL,192,0.721,0.645
ETSformer,ECL,336,0.862,0.707
ETSformer,ECL,720,0.666,0.64
ETSformer,ECL,Avg,0.75,0.664
ETSformer,Traffic,96,1.419,0.795
ETSformer,Traffic,192,0.995,0.658
ETSformer,Traffic,336,0.94,0.621
ETSformer,Traffic,720,0.798,0.518
ETSformer,Traffic,Avg,1.038,0.648
ETSformer,Weather,96,0.453,0.416
ETSformer,Weather,192,0.545,0.466
ETSformer,Weather,336,0.487,0.444
ETSformer,Weather,720,0.592,0.506
ETSformer,Weather,Avg,0.519,0.458
ETSformer,ETTm1,96,1.117,0.678
ETSformer,ETTm1,192,1.598,0.803
ETSformer,ETTm1,336,1.154,0.682
ETSformer,ETTm1,720,1.038,0.665
ETSformer,ETTm1,Avg,1.227,0.707
ETSformer,ETTm2,96,0.353,0.404
ETSformer,ETTm2,192,0.39,0.416
ETSformer,ETTm2,336,0.409,0.428
ETSformer,ETTm2,720,0.444,0.438
ETSformer,ETTm2,Avg,0.399,0.4215
ETSformer,ETTh1,96,0.469,0.457
ETSformer,ETTh1,192,0.548,0.503
ETSformer,ETTh1,336,0.728,0.585
ETSformer,ETTh1,720,0.615,0.561
ETSformer,ETTh1,Avg,0.59,0.5265
ETSformer,ETTh2,96,0.405,0.428
ETSformer,ETTh2,192,0.476,0.468
ETSformer,ETTh2,336,0.446,0.451
ETSformer,ETTh2,720,0.446,0.466
ETSformer,ETTh2,Avg,0.443,0.453
FEDFormer,ECL,96,0.3,0.399
FEDFormer,ECL,192,0.39,0.468
FEDFormer,ECL,336,0.317,0.406
FEDFormer,ECL,720,0.423,0.48
FEDFormer,ECL,Avg,0.358,0.439
FEDFormer,Traffic,96,0.835,0.564
FEDFormer,Traffic,192,0.869,0.579
FEDFormer,Traffic,336,1.006,0.64
FEDFormer,Traffic,720,0.965,0.652
FEDFormer,Traffic,Avg,0.919,0.609
FEDFormer,Weather,96,0.292,0.346
FEDFormer,Weather,192,0.372,0.426
FEDFormer,Weather,336,0.639,0.6
FEDFormer,Weather,720,0.409,0.425
FEDFormer,Weather,Avg,0.428,0.449
FEDFormer,ETTm1,96,0.698,0.553
FEDFormer,ETTm1,192,0.819,0.608
FEDFormer,ETTm1,336,0.785,0.624
FEDFormer,ETTm1,720,0.816,0.614
FEDFormer,ETTm1,Avg,0.78,0.6
FEDFormer,ETTm2,96,0.665,0.634
FEDFormer,ETTm2,192,0.358,0.416
FEDFormer,ETTm2,336,0.372,0.424
FEDFormer,ETTm2,720,0.455,0.462
FEDFormer,ETTm2,Avg,0.4625,0.484
FEDFormer,ETTh1,96,0.509,0.502
FEDFormer,ETTh1,192,0.683,0.596
FEDFormer,ETTh1,336,0.582,0.542
FEDFormer,ETTh1,720,0.688,0.618
FEDFormer,ETTh1,Avg,0.616,0.564
FEDFormer,ETTh2,96,0.385,0.426
FEDFormer,ETTh2,192,0.921,0.748
FEDFormer,ETTh2,336,36.005,5.755
FEDFormer,ETTh2,720,0.427,0.452
FEDFormer,ETTh2,Avg,9.435,1.845
